% Model:              PPLATE_2.mph
% Version:            COMSOL 4.3.2.189
% Date:               Feb 20 2014, 14:57
% Table:              Probe Table 1 - 
% b                      sqrt(mf.Wm/es.We) (m^2), Domain Probe 1
0.0010                   5.005620127080224
0.0060                   26.722178745597812
0.011                    45.22696469867214
0.016                    61.27738399890675
0.021                    75.80930565450934
0.026000000000000002     88.23690772408288
0.031                    100.12822008823574
0.036000000000000004     110.74736584906653
0.041                    119.72468579087375
0.046                    128.71530190344873
0.051000000000000004     140.04176092877077
0.056                    143.76704380249998
0.061                    150.99890268860403
0.066                    157.80283207263528
0.07100000000000001      163.9118618472734
0.076                    170.10072876362244
0.081                    179.13910105422457
0.08600000000000001      184.16620124888286
0.091                    188.2556090833947
0.096                    192.77413766344645
0.101                    196.60660646722647
0.106                    200.32751739529223
0.111                    203.28998879398648
0.116                    206.60697330622966
0.121                    209.9659680464247
0.126                    212.66154105794047
0.131                    215.347786924264
0.136                    217.79190461320897
0.14100000000000001      220.13379440685873
0.146                    222.40172088504994
0.151                    226.23352874150953
0.156                    228.01243562214725
0.161                    229.56032526176705
0.166                    230.66708580484433
0.171                    232.34872059675013
0.17600000000000002      233.5971355336425
0.181                    234.93761869987128
0.186                    236.03818463549166
0.191                    237.1157935066975
0.196                    238.1424044242989
